id,timestamp,batch_id,iteration,operation,algorithm,sym_key_size_bits,sig_algorithm,sig_key_param,input_filename,input_extension,input_mime,input_size_bytes,input_size_kb,input_file_category,input_entropy,output_filename,output_size_bytes,output_size_kb,output_entropy,ciphertext_expansion_pct,enc_time_ms,dec_time_ms,total_time_ms,enc_ram_kb,dec_ram_kb,enc_throughput_kbps,dec_throughput_kbps,aes_key_entropy,chacha_key_entropy,sig_size_bits,sig_valid,entropy_plaintext,entropy_aes_half,entropy_chacha_half,entropy_final,avalanche_pct,avalanche_bits_flipped,avalanche_total_bits,avalanche_deviation,byte_freq_std_dev,chi_squared
op_20260503_151907_25bd,2026-05-03T15:19:07Z,test_batch,1,both,aes_gcm,128,,,test.txt,.txt,text/plain,1160,1.133,text,4.2134,test.txt.enc,1188,1.16,7.8219,2.4138,0.3051,0.0167,0.3218,128.0,4.0,3712.92,69470.39,3.7028,4.9375,0,True,4.2134,4.2134,4.2134,7.8219,49.611,4715,9504,0.389,2.2439,277.7508
op_20260503_151907_3c59,2026-05-03T15:19:07Z,test_batch,1,both,aes_gcm,256,RSA,2048,test.txt,.txt,text/plain,1160,1.133,text,4.2134,test.txt.enc,1188,1.16,7.8508,2.4138,0.0421,0.0151,0.0572,0.0,0.0,26907.6,76831.55,5.0,4.8125,0,True,4.2134,4.2134,4.2134,7.8508,49.211,4677,9504,0.789,2.0662,235.5152
op_20260503_151908_be2a,2026-05-03T15:19:08Z,test_batch,1,both,chacha20_poly1305,256,,,test.txt,.txt,text/plain,1160,1.133,text,4.2134,test.txt.enc,1188,1.16,7.8277,2.4138,0.0903,0.029,0.1193,56.0,4.0,12544.99,40005.24,4.8514,4.875,0,True,4.2134,4.2134,4.2134,7.8277,49.495,4704,9504,0.505,2.2629,282.4916
op_20260503_151908_44be,2026-05-03T15:19:08Z,test_batch,1,both,hybrid,256,ECDSA,P-256,test.txt,.txt,text/plain,1160,1.133,text,4.2134,test.txt.enc,1295,1.265,7.8166,11.6379,9.1432,0.2722,9.4154,2992.0,28.0,123.9,4646.03,4.875,4.9375,568,True,4.2134,4.2134,4.2134,7.8166,50.493,2456,4864,0.493,2.5095,318.6896
op_20260503_153829_c183,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,1,both,aes_gcm,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.98,0.2734,1.9927,0.0271,2.0198,164.0,36.0,5018.32,370013.05,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.98,50.306,41323,82144,0.306,6.6447,281.8029
op_20260503_153829_a623,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,2,both,aes_gcm,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.9809,0.2734,0.0594,0.0285,0.0879,0.0,0.0,168350.21,351836.82,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9809,50.057,41119,82144,0.057,6.4937,269.1375
op_20260503_153829_99b4,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,3,both,aes_gcm,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.9825,0.2734,0.0447,0.0132,0.0579,0.0,0.0,223713.69,759641.47,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9825,50.211,41245,82144,0.211,6.2453,248.9427
op_20260503_153829_2de9,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,4,both,chacha20_poly1305,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.9825,0.2734,0.6228,0.0386,0.6614,52.0,4.0,16056.52,259776.12,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9825,49.942,41024,82144,0.058,6.239,248.4441
op_20260503_153829_73c0,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,5,both,chacha20_poly1305,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.9807,0.2734,0.0617,0.0213,0.083,0.0,0.0,162074.54,470766.3,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9807,50.149,41194,82144,0.149,6.5201,271.3315
op_20260503_153829_252d,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,6,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10268,10.027,7.9807,0.2734,0.0474,0.0176,0.065,0.0,0.0,210970.41,569734.87,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9807,50.047,41111,82144,0.047,6.5099,270.4838
